영구번호,화장실명,위도,경도,좌표정확도,좌표출처,카카오장소ID,카카오장소명,이름유사도,사유
WC009784,장평근린공원 화장실,37.5675182037523,127.074203892441,A,kakao_place_bldg,17384987,장평근린공원,1.0,"캠퍼스·단지 건물 좌표(구분어 장평근린공원, 묶음 좌표에서 127m)"
WC009633,장평근린공원 화장실,37.5675182037523,127.074203892441,A,kakao_place_bldg,17384987,장평근린공원,1.0,"캠퍼스·단지 건물 좌표(구분어 장평근린공원, 묶음 좌표에서 127m)"
WC009102,훈련원공원 공영주차장,37.567037816680404,127.0034387393041,A,kakao_place_bldg,10965765,훈련원공원 공영주차장,1.0,"캠퍼스·단지 건물 좌표(구분어 공원공영주차장, 묶음 좌표에서 85m)"
WC009813,동부시장,37.5673026811195,127.052765251199,A,kakao_place_bldg,18526221,동부시장,1.0,"캠퍼스·단지 건물 좌표(구분어 시장, 묶음 좌표에서 58m)"
WC009662,동부시장,37.5673026811195,127.052765251199,A,kakao_place_bldg,18526221,동부시장,1.0,"캠퍼스·단지 건물 좌표(구분어 시장, 묶음 좌표에서 58m)"
WC002308,하늘4(대우),37.56624231229595,126.88799089846472,A,kakao_place_bldg,26335982,하늘-4 대우 개방화장실,0.62,"캠퍼스·단지 건물 좌표(구분어 대우, 묶음 좌표에서 348m)"
WC005776,화학안전관,37.5695761360705,126.643380589337,A,kakao_place_bldg,1938593741,한국환경공단 화학안전관,0.62,"캠퍼스·단지 건물 좌표(구분어 화학안전관, 묶음 좌표에서 430m)"
WC005774,환경기술관,37.56891718759362,126.64357163172842,A,kakao_place_bldg,17562541,한국환경공단 환경기술관,0.62,"캠퍼스·단지 건물 좌표(구분어 환경기술관, 묶음 좌표에서 445m)"
WC005773,기후대기관,37.5696497441398,126.64269428107,A,kakao_place_bldg,17948231,한국환경공단 기후대기관,0.62,"캠퍼스·단지 건물 좌표(구분어 기후대기관, 묶음 좌표에서 371m)"
WC005772,물환경관,37.5683581587616,126.642243153894,A,kakao_place_bldg,17948251,한국환경공단 물환경관,0.57,"캠퍼스·단지 건물 좌표(구분어 물환경관, 묶음 좌표에서 338m)"
WC005771,녹색관,37.5685137680776,126.643645997325,A,kakao_place_bldg,17948253,한국환경공단 녹색관,0.5,"캠퍼스·단지 건물 좌표(구분어 녹색관, 묶음 좌표에서 456m)"
WC005767,"국립환경과학원 자원순환연구동
(1층, 2층)",37.5662529532629,126.636771473037,A,kakao_place_bldg,542514638,국립환경과학원 자원순환연구동,1.0,"캠퍼스·단지 건물 좌표(구분어 국립환경과학원자원순환연구동, 묶음 좌표에서 357m)"
