영구번호,화장실명,종류,조치,위도,경도,등급,장소명,장소ID,근거
WC042978,함박산중앙공원(실개천),좌표없음,place,37.0374880704183,127.038508246838,확인,함박산중앙공원 음악분수,1416081343,"화장실명""함박산중앙공원(실개천)"" — 카카오·네이버가 같은 시설로 확인(16m 차이)"
WC042968,풀내음근린공원,좌표없음,place,36.9875119616258,127.126129095964,확인,풀내음근린공원,1351089002,"화장실명""풀내음근린공원"" — 카카오·네이버가 같은 시설로 확인(7m 차이)"
WC042942,은실어린이공원,좌표없음,place,37.0076973015825,127.0879388972,확인,은실어린이공원,505439271,"화장실명""은실어린이공원"" — 카카오·네이버가 같은 시설로 확인(1m 차이)"
WC042918,신당근린공원 야구장,좌표없음,place,36.970035,126.847475,추정,신당근린공원야구장 공중화장실,,"화장실명""신당근린공원 야구장"" — 네이버에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC042913,솔숲근린공원,좌표없음,place,36.9904853200774,127.130498054739,확인,솔숲 근린공원,2146175414,"화장실명""솔숲근린공원"" — 카카오·네이버가 같은 시설로 확인(39m 차이)"
WC042902,새솔근린공원,좌표없음,place,37.0332743140571,127.026524939371,확인,새솔근린공원,582694103,"화장실명""새솔근린공원"" — 카카오·네이버가 같은 시설로 확인(16m 차이)"
WC042888,봉골근린공원,좌표없음,place,37.0262320969943,127.063096552755,확인,봉골근린공원,974301437,"화장실명""봉골근린공원"" — 카카오·네이버가 같은 시설로 확인(35m 차이)"
WC042862,내리문화공원(주차장),좌표없음,place,36.974925489374215,127.03097790135193,확인,내리문화공원,27071519,"화장실명""내리문화공원(주차장)"" — 카카오·네이버가 같은 시설로 확인(4m 차이)"
WC042861,내리문화공원(광장),좌표없음,place,36.974925489374215,127.03097790135193,확인,내리문화공원,27071519,"화장실명""내리문화공원(광장)"" — 카카오·네이버가 같은 시설로 확인(4m 차이)"
WC042794,현덕파출소,좌표없음,place,36.9647238713991,126.918628034821,확인,현덕파출소,12380541,"화장실명""현덕파출소"" — 카카오·네이버가 같은 시설로 확인(20m 차이)"
WC042779,고덕119센타,좌표없음,place,37.04526759959235,127.02670897006426,추정,고덕119안전센터,8756475,"화장실명""고덕119센타"" — 카카오에서만 찾음(이름 유사 0.75) — 정확하지 않을 수 있음"
WC049076,부항복지회관 화장실,좌표없음,place,35.98935301622343,127.95923665527582,확인,부항면민복지회관,26175315,"화장실명""부항복지회관 화장실"" — 카카오·네이버가 같은 시설로 확인(7m 차이)"
WC048970,경상북도도립김천노인전문요양,좌표없음,place,36.211200476104246,128.05225284411543,확인,경상북도립 김천노인전문요양병원,10173237,"화장실명""경상북도도립김천노인전문요양"" — 카카오·네이버가 같은 시설로 확인(5m 차이)"
WC048894,율수재 공중화장실,좌표없음,place,36.15200233252309,128.0584950833417,추정,봉계율수재,7902830,"화장실명""율수재 공중화장실"" — 카카오에서만 찾음(이름 유사 0.75) — 정확하지 않을 수 있음"
WC041435,천곡샘골생태공원 화장실,좌표없음,place,35.6384149763568,129.323838249862,확인,천곡샘골생태공원,1619432876,"화장실명""천곡샘골생태공원 화장실"" — 카카오·네이버가 같은 시설로 확인(13m 차이)"
WC041391,몽돌서재주차장 공중화장실,좌표없음,place,35.6276227787975,129.441732079092,추정,몽돌서재주차장 화장실,1342913988,"화장실명""몽돌서재주차장 공중화장실"" — 카카오에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC041373,화동마을공영주차장 공중화장실,좌표없음,place,35.5912792333823,129.373010994145,추정,화동마을공영주차장 공중화장실,1059245924,"화장실명""화동마을공영주차장 공중화장실"" — 카카오에서만 찾음(이름 유사 1.00) — 정확하지 않을 수 있음"
WC048858,새희망주유소,좌표없음,place,35.6737200615459,127.161782912315,확인,새희망 주유소,7935821,"화장실명""새희망주유소"" — 카카오·네이버가 같은 시설로 확인(1m 차이)"
WC048839,오수관촌농협주유소,좌표없음,place,35.6604228759239,127.277287082635,확인,오수관촌농협주유소,11413638,"화장실명""오수관촌농협주유소"" — 카카오·네이버가 같은 시설로 확인(1m 차이)"
WC048825,관촌시장,좌표없음,place,35.6786068448148,127.267845780072,확인,관촌전통시장,18525424,"화장실명""관촌시장"" — 카카오·네이버가 같은 시설로 확인(20m 차이)"
